Protein IDs,Majority protein IDs,Peptide counts (unique),Fasta headers,Mol. weight [kDa],Intensity,B1.1_1,B1.1_2,B1.1_3,CT_1,B0.3_1,B0.3_2,B0.3_3,B1.1_4,CT_2,CT_3,B0.3_4,B0.3_5,CT_4,CT_5,B1.1_5 
A0A3Q1LKU3;A4FUC2;A0A3Q1LP65,A0A3Q1LKU3;A4FUC2;A0A3Q1LP65,2;2;2,tr|A0A3Q1LKU3|A0A3Q1LKU3_BOVIN Heteroous nuclear ribonucleoprotein U like 1 OS=Bos taurus OX=9913 GN=HNRNPUL1 PE=1 SV=1;tr|A4FUC2|A4FUC2_BOVIN HNRNPUL1 protein OS=Bos taurus OX=9913 GN=HNRNPUL1 PE=1 SV=1;tr|A0A3Q1LP65|A0A3Q1LP65_BOVIN Heteroous nuclear rib,93.66,34667000,0,11664000,0,0,0,0,0,0,0,0,0,0,0,0,0
Q5EBY8;F6PRB5;A0A3Q1LS67;Q3T172,Q5EBY8;F6PRB5;A0A3Q1LS67;Q3T172,3;3;3;3,tr|Q5EBY8|Q5EBY8_BOVIN ECH1-like protein (Fragment) OS=Bos taurus OX=9913 PE=3 SV=1;tr|F6PRB5|F6PRB5_BOVIN Enoyl-CoA hydratase 1 OS=Bos taurus OX=9913 GN=ECH1 PE=1 SV=2;tr|A0A3Q1LS67|A0A3Q1LS67_BOVIN Enoyl-CoA hydratase 1 OS=Bos taurus OX=9913 GN=ECH1 PE=1,18.551,15669000,0,7701500,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A3Q1LX10;A7Z018;F6PTX8,A0A3Q1LX10;A7Z018;F6PTX8,2;2;1,tr|A0A3Q1LX10|A0A3Q1LX10_BOVIN Regulator of chromosome condensation 1 OS=Bos taurus OX=9913 GN=RCC1 PE=4 SV=1;tr|A7Z018|A7Z018_BOVIN RCC1 protein OS=Bos taurus OX=9913 GN=RCC1 PE=2 SV=1;tr|F6PTX8|F6PTX8_BOVIN Regulator of chromosome condensation 1 OS=Bos t,47.544,6796800,0,0,0,0,0,0,0,0,0,0,0,5411700,0,0,0
A0A3Q1N9W0;A0A3Q1LZC7;A0A3S5ZPK0,A0A3Q1N9W0;A0A3Q1LZC7;A0A3S5ZPK0,1;1;1,tr|A0A3Q1N9W0|A0A3Q1N9W0_BOVIN O-linked N-acetylglucosamine (GlcNAc) transferase OS=Bos taurus OX=9913 GN=OGT PE=4 SV=1;tr|A0A3Q1LZC7|A0A3Q1LZC7_BOVIN O-GlcNAc transferase subunit p110 OS=Bos taurus OX=9913 GN=OGT PE=3 SV=1;tr|A0A3S5ZPK0|A0A3S5ZPK0_BOVIN O,19.201,36002000,0,0,0,0,0,0,0,4928100,0,0,0,0,0,0,0
A6QQK3;A0A3Q1M0A2,A6QQK3;A0A3Q1M0A2,2;2,tr|A6QQK3|A6QQK3_BOVIN MOSPD2 protein OS=Bos taurus OX=9913 GN=MOSPD2 PE=2 SV=1;tr|A0A3Q1M0A2|A0A3Q1M0A2_BOVIN Motile sperm domain containing 2 OS=Bos taurus OX=9913 GN=MOSPD2 PE=4 SV=1,56.376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q32KX0;F1N6A0;A0A3Q1M2I1,Q32KX0;F1N6A0;A0A3Q1M2I1,2;2;2,sp|Q32KX0|ISOC2_BOVIN Isochorismatase domain-containing protein 2 OS=Bos taurus OX=9913 GN=ISOC2 PE=2 SV=1;tr|F1N6A0|F1N6A0_BOVIN Isochorismatase domain-containing protein 2 OS=Bos taurus OX=9913 GN=ISOC2 PE=3 SV=1;tr|A0A3Q1M2I1|A0A3Q1M2I1_BOVIN Isochorism,22.42,91702000,0,0,0,0,0,0,0,0,0,0,931630,0,0,0,0
F1MBF6;A0A3Q1MBS7;G3X7D3;F1MX39,F1MBF6;A0A3Q1MBS7,2;2;0;0,"tr|F1MBF6|F1MBF6_BOVIN RAB6A, member RAS onco family OS=Bos taurus OX=9913 GN=RAB6A PE=4 SV=2;tr|A0A3Q1MBS7|A0A3Q1MBS7_BOVIN RAB6A, member RAS onco family OS=Bos taurus OX=9913 GN=RAB6A PE=4 SV=1",23.518,7066400,0,0,0,0,7096700,0,0,0,0,0,0,0,0,0,0
A0A3Q1MCH6;Q3SZ94;A5PK96;A0A3Q1N8V6,A0A3Q1MCH6;Q3SZ94;A5PK96,1;1;1;1,tr|A0A3Q1MCH6|A0A3Q1MCH6_BOVIN Low molecular weight cytosolic acid phosphatase OS=Bos taurus OX=9913 GN=ACP1 PE=3 SV=1;tr|Q3SZ94|Q3SZ94_BOVIN Low molecular weight cytosolic acid phosphatase OS=Bos taurus OX=9913 GN=ACP1 PE=2 SV=1;tr|A5PK96|A5PK96_BOVIN Low,17.025,49407000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1669700
A8YXZ2;A0A3Q1MRQ2;A0A3Q1ME55,A8YXZ2;A0A3Q1MRQ2;A0A3Q1ME55,1;1;1,tr|A8YXZ2|A8YXZ2_BOVIN C8G protein OS=Bos taurus OX=9913 GN=C8G PE=2 SV=1;tr|A0A3Q1MRQ2|A0A3Q1MRQ2_BOVIN Complement C8 gamma chain OS=Bos taurus OX=9913 GN=C8G PE=3 SV=1;tr|A0A3Q1ME55|A0A3Q1ME55_BOVIN Complement C8 gamma chain OS=Bos taurus OX=9913 GN=C8G ,25.288,19645000,0,0,0,0,0,0,0,0,0,4740600,0,0,0,0,0
A0A3Q1N9H8,A0A3Q1N9H8,1,tr|A0A3Q1N9H8|A0A3Q1N9H8_BOVIN DnaJ heat shock protein family (Hsp40) member A3 OS=Bos taurus OX=9913 GN=DNAJA3 PE=3 SV=1,52.068,49797000,0,9530100,0,0,0,0,0,0,0,0,0,0,0,0,0
E1BGH0;A0A3Q1NB13,E1BGH0;A0A3Q1NB13,2;2,tr|E1BGH0|E1BGH0_BOVIN ATP binding cassette subfamily F member 1 OS=Bos taurus OX=9913 GN=ABCF1 PE=1 SV=2;tr|A0A3Q1NB13|A0A3Q1NB13_BOVIN ATP binding cassette subfamily F member 1 OS=Bos taurus OX=9913 GN=ABCF1 PE=1 SV=1,95.3,20210000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4121500
Q0P5H1;A0A452DIX0,Q0P5H1;A0A452DIX0,3;3,sp|Q0P5H1|PCYXL_BOVIN Prenylcysteine oxidase-like OS=Bos taurus OX=9913 GN=PCYOX1L PE=2 SV=1;tr|A0A452DIX0|A0A452DIX0_BOVIN Prenylcysteine oxidase-like OS=Bos taurus OX=9913 GN=PCYOX1L PE=3 SV=1,54.437,13278000,0,0,0,0,0,0,5001800,0,0,0,0,0,0,0,0
A7E3W2,A7E3W2,4,sp|A7E3W2|LG3BP_BOVIN Galectin-3-binding protein OS=Bos taurus OX=9913 GN=LGALS3BP PE=1 SV=1,62.126,65971000,0,21583000,0,0,0,0,0,0,0,0,0,0,0,0,0
E1BDS6,E1BDS6,4,tr|E1BDS6|E1BDS6_BOVIN Tumor protein p53 binding protein 1 OS=Bos taurus OX=9913 GN=TP53BP1 PE=4 SV=2,212.95,28355000,0,11532000,0,0,0,0,0,0,0,0,0,0,0,0,0
E1BIQ0,E1BIQ0,4,tr|E1BIQ0|E1BIQ0_BOVIN Polynucleotide phosphorylase 1 OS=Bos taurus OX=9913 GN=PNPT1 PE=3 SV=2,85.901,16894000,0,8303700,0,0,0,0,0,0,0,0,0,0,0,0,0
E1BJQ1,E1BJQ1,2,tr|E1BJQ1|E1BJQ1_BOVIN Glycine cleavage system P protein OS=Bos taurus OX=9913 GN=GLDC PE=3 SV=2,112.89,32558000,0,12479000,0,0,0,0,0,0,0,0,0,0,0,0,0
P35816;F1MG92,P35816;F1MG92,2;2,"sp|P35816|PDP1_BOVIN [Pyruvate dehydrogenase [acetyl-transferring]]-phosphatase 1, mitochondrial OS=Bos taurus OX=9913 GN=PDP1 PE=1 SV=1;tr|F1MG92|F1MG92_BOVIN [Pyruvate dehydrogenase [acetyl-transferring]]-phosphatase 1, mitochondrial OS=Bos taurus OX=991",61.184,20074000,0,6204200,0,0,0,0,0,0,0,0,0,0,0,0,0
F1MNV5;P01045;CON__P01045-1;P01044;CON__Q2KJ62;CON__P01044-1;A0A140T8C8,F1MNV5;P01045;CON__P01045-1;P01044;CON__Q2KJ62;CON__P01044-1;A0A140T8C8,3;2;2;2;2;2;2,tr|F1MNV5|F1MNV5_BOVIN Kininogen-1 OS=Bos taurus OX=9913 GN=KNG1 PE=4 SV=2;sp|P01045|KNG2_BOVIN Kininogen-2 OS=Bos taurus OX=9913 GN=KNG2 PE=1 SV=1;;sp|P01044|KNG1_BOVIN Kininogen-1 OS=Bos taurus OX=9913 GN=KNG1 PE=1 SV=1;;;tr|A0A140T8C8|A0A140T8C8_BOVIN K,48.421,49645000,0,21610000,0,0,0,0,0,0,0,0,0,0,0,0,0
Q8SPU8;F1MZD5,Q8SPU8;F1MZD5,2;2,sp|Q8SPU8|DHRS4_BOVIN Dehydrogenase/reductase SDR family member 4 OS=Bos taurus OX=9913 GN=DHRS4 PE=2 SV=2;tr|F1MZD5|F1MZD5_BOVIN Dehydrogenase/reductase SDR family member 4 OS=Bos taurus OX=9913 GN=DHRS4 PE=3 SV=2,29.44,21368000,0,6926200,0,0,0,0,0,0,0,0,0,0,0,0,0
F1N2H1;Q3HNG7;A0A3Q1M3J7,F1N2H1;Q3HNG7;A0A3Q1M3J7,2;2;1,tr|F1N2H1|F1N2H1_BOVIN Histone H1.8 OS=Bos taurus OX=9913 GN=H1-8 PE=4 SV=2;sp|Q3HNG7|H18_BOVIN Histone H1.8 OS=Bos taurus OX=9913 GN=H1-8 PE=1 SV=1;tr|A0A3Q1M3J7|A0A3Q1M3J7_BOVIN Histone H1.8 OS=Bos taurus OX=9913 GN=H1-8 PE=4 SV=1,35.481,44498000,0,0,0,0,0,0,0,0,0,11558000,0,0,0,0,0
P56966,P56966,2,sp|P56966|GGPPS_BOVIN Geranylgeranyl pyrophosphate synthase OS=Bos taurus OX=9913 GN=GGPS1 PE=1 SV=2,34.9,22313000,0,0,0,0,0,0,0,498570,0,0,0,0,0,0,0
P79126,P79126,2,sp|P79126|PPM1G_BOVIN Protein phosphatase 1G OS=Bos taurus OX=9913 GN=PPM1G PE=2 SV=2,58.606,36975000,0,8432400,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1JQA7,Q1JQA7,3,"sp|Q1JQA7|TIGAR_BOVIN Fructose-2,6-bisphosphatase TIGAR OS=Bos taurus OX=9913 GN=TIGAR PE=2 SV=1",29.466,5350000,0,0,0,0,0,0,6663900,0,0,0,0,0,0,0,0
Q1LZF8,Q1LZF8,2,sp|Q1LZF8|CLCC1_BOVIN Chloride channel CLIC-like protein 1 OS=Bos taurus OX=9913 GN=CLCC1 PE=2 SV=1,61.811,29418000,0,0,0,0,8075800,0,0,0,0,0,0,0,0,0,0
Q3SZ99;A0A3S5ZP93;Q7YRC1,Q3SZ99;A0A3S5ZP93,3;2;1,tr|Q3SZ99|Q3SZ99_BOVIN Peptidylprolyl isomerase OS=Bos taurus OX=9913 GN=AIP PE=2 SV=1;tr|A0A3S5ZP93|A0A3S5ZP93_BOVIN Peptidylprolyl isomerase OS=Bos taurus OX=9913 GN=AIP PE=4 SV=1,37.59,14908000,0,3463600,0,0,0,0,0,0,0,0,0,0,0,0,0
REV__E1BB38,REV__E1BB38,1,tr|E1BB38|E1BB38_BOVIN Signal recognition particle subunit SRP72 OS=Bos taurus OX=9913 GN=SRP72 PE=1 SV=1,74.727,505930000,0,0,0,0,0,0,0,0,72400000,0,0,0,0,0,0
A0A3Q1LZ73;A0A3Q1N446;A0A452DJF0;E1BD52;A0A3Q1LJP7,A0A3Q1LZ73;A0A3Q1N446;A0A452DJF0;E1BD52;A0A3Q1LJP7,1;1;1;1;1,tr|A0A3Q1LZ73|A0A3Q1LZ73_BOVIN Transmembrane protein 245 OS=Bos taurus OX=9913 GN=TMEM245 PE=3 SV=1;tr|A0A3Q1N446|A0A3Q1N446_BOVIN Transmembrane protein 245 OS=Bos taurus OX=9913 GN=TMEM245 PE=3 SV=1;tr|A0A452DJF0|A0A452DJF0_BOVIN Transmembrane protein 245,87.295,34102000,0,0,0,0,0,0,0,0,2293100,0,0,0,0,0,0
A0A3Q1LNK8;A8E648,A0A3Q1LNK8;A8E648,3;3,tr|A0A3Q1LNK8|A0A3Q1LNK8_BOVIN Calcium homeostasis endoplasmic reticulum protein OS=Bos taurus OX=9913 GN=CHERP PE=4 SV=1;tr|A8E648|A8E648_BOVIN CHERP protein OS=Bos taurus OX=9913 GN=CHERP PE=2 SV=1,101.51,12359000,0,3140500,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1LZ70;E1BL48;A0A3Q1N117;A0A3Q1M1W6;A0A3Q1LR84;G3X833,Q1LZ70;E1BL48;A0A3Q1N117;A0A3Q1M1W6;A0A3Q1LR84;G3X833,2;2;2;2;2;2,"tr|Q1LZ70|Q1LZ70_BOVIN HIG1 domain family, member 1D OS=Bos taurus OX=9913 GN=HIGD1D PE=2 SV=1;tr|E1BL48|E1BL48_BOVIN HIG1 domain-containing protein OS=Bos taurus OX=9913 PE=4 SV=1;tr|A0A3Q1N117|A0A3Q1N117_BOVIN HIG1 domain-containing protein OS=Bos taurus",10.228,13469000,0,2785500,0,0,0,0,0,0,0,0,0,0,0,0,0
C3V9V7;A0A3Q1MFR6,C3V9V7;A0A3Q1MFR6,1;1,tr|C3V9V7|C3V9V7_BOVIN RNP24 OS=Bos taurus OX=9913 GN=TMED2 PE=3 SV=1;tr|A0A3Q1MFR6|A0A3Q1MFR6_BOVIN Transmembrane p24 trafficking protein 2 OS=Bos taurus OX=9913 GN=TMED2 PE=3 SV=1,22.733,25117000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2614000
A0A3Q1NHB5;Q3SZJ9;M5FJZ1,A0A3Q1NHB5;Q3SZJ9;M5FJZ1,2;2;2,tr|A0A3Q1NHB5|A0A3Q1NHB5_BOVIN Phosphomannomutase OS=Bos taurus OX=9913 GN=LOC782057 PE=3 SV=1;sp|Q3SZJ9|PMM2_BOVIN Phosphomannomutase 2 OS=Bos taurus OX=9913 GN=PMM2 PE=2 SV=1;tr|M5FJZ1|M5FJZ1_BOVIN Phosphomannomutase OS=Bos taurus OX=9913 GN=PMM2 PE=3 SV,26.279,11420000,0,5613200,0,0,0,0,0,0,0,0,0,0,0,0,0
A4IFH5;A0A452DIW8,A4IFH5;A0A452DIW8,2;2,sp|A4IFH5|ALAT1_BOVIN Alanine aminotransferase 1 OS=Bos taurus OX=9913 GN=GPT PE=2 SV=1;tr|A0A452DIW8|A0A452DIW8_BOVIN Alanine transaminase OS=Bos taurus OX=9913 GN=GPT PE=3 SV=1,55.275,24311000,0,0,0,0,0,0,0,0,0,0,0,4289200,0,0,0
A0A452DJ90;Q2KJJ0,A0A452DJ90;Q2KJJ0,4;4,tr|A0A452DJ90|A0A452DJ90_BOVIN PRP6 homolog OS=Bos taurus OX=9913 GN=PRPF6 PE=4 SV=1;sp|Q2KJJ0|PRP6_BOVIN Pre-mRNA-processing factor 6 OS=Bos taurus OX=9913 GN=PRPF6 PE=2 SV=1,105.85,40444000,0,10860000,0,0,0,0,0,0,0,0,0,0,0,0,0
A5D7G6,A5D7G6,3,tr|A5D7G6|A5D7G6_BOVIN Dolichyl-diphosphooligosaccharide--protein glycotransferase OS=Bos taurus OX=9913 GN=STT3B PE=2 SV=1,93.216,27131000,0,2249600,0,0,0,0,0,0,0,0,0,0,0,0,0
F1MI92;A6QLP9,F1MI92;A6QLP9,3;3,tr|F1MI92|F1MI92_BOVIN Slingshot protein phosphatase 3 OS=Bos taurus OX=9913 GN=SSH3 PE=3 SV=1;tr|A6QLP9|A6QLP9_BOVIN SSH3 protein OS=Bos taurus OX=9913 GN=SSH3 PE=2 SV=1,71.187,8172500,0,0,13179000,0,0,0,0,0,0,0,0,0,0,0,0
A7E320,A7E320,2,sp|A7E320|UHRF1_BOVIN E3 ubiquitin-protein ligase UHRF1 OS=Bos taurus OX=9913 GN=UHRF1 PE=2 SV=1,88.338,10309000,0,0,5208400,0,0,0,0,0,0,0,0,0,0,0,0
A8E4P3,A8E4P3,1,tr|A8E4P3|A8E4P3_BOVIN STOM protein OS=Bos taurus OX=9913 GN=STOM PE=1 SV=1,31.288,43219000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3720600
F1MFC6,F1MFC6,1,"tr|F1MFC6|F1MFC6_BOVIN FERM, ARH/RhoGEF and pleckstrin domain protein 1 OS=Bos taurus OX=9913 GN=FARP1 PE=4 SV=3",118.25,31284000,0,0,0,0,0,0,0,0,0,0,0,0,2956100,0,0
F1MYI2;Q3SYX2,F1MYI2;Q3SYX2,1;1,tr|F1MYI2|F1MYI2_BOVIN Heteroous nuclear ribonucleoprotein M OS=Bos taurus OX=9913 GN=HNRNPM PE=1 SV=3;tr|Q3SYX2|Q3SYX2_BOVIN HNRPM protein OS=Bos taurus OX=9913 GN=HNRPM PE=2 SV=2,71.749,32668000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6892800
F1MZU1,F1MZU1,3,"tr|F1MZU1|F1MZU1_BOVIN La ribonucleoprotein 1, translational regulator OS=Bos taurus OX=9913 GN=LARP1 PE=4 SV=3",123.32,12177000,0,0,0,0,0,0,0,0,0,0,0,0,0,2118900,0
Q0V8B0;Q5E9W3;G8JKZ0,Q0V8B0;Q5E9W3;G8JKZ0,4;4;4,"tr|Q0V8B0|Q0V8B0_BOVIN Dihydroorotate dehydrogenase (quinone), mitochondrial (Fragment) OS=Bos taurus OX=9913 GN=DHODH PE=2 SV=1;sp|Q5E9W3|PYRD_BOVIN Dihydroorotate dehydrogenase (quinone), mitochondrial OS=Bos taurus OX=9913 GN=DHODH PE=1 SV=1;tr|G8JKZ0|G",42.573,8035400,0,3949500,0,0,0,0,0,0,0,0,0,0,0,0,0
P67810,P67810,2,sp|P67810|SC11A_BOVIN Signal peptidase complex catalytic subunit SEC11A OS=Bos taurus OX=9913 GN=SEC11A PE=2 SV=1,20.625,17430000,0,5250200,0,0,0,0,0,0,0,0,0,0,0,0,0
Q3MHL8,Q3MHL8,1,sp|Q3MHL8|SMAP_BOVIN Small acidic protein OS=Bos taurus OX=9913 GN=SMAP PE=2 SV=1,20.108,34841000,0,0,0,0,0,0,0,0,0,0,0,0,0,1821900,0
Q3SZ87,Q3SZ87,2,sp|Q3SZ87|SSRG_BOVIN Translocon-associated protein subunit gamma OS=Bos taurus OX=9913 GN=SSR3 PE=2 SV=1,21.074,8506400,0,4181000,0,0,0,0,0,0,0,0,0,0,0,0,0
Q3T0B7,Q3T0B7,1,sp|Q3T0B7|RS27L_BOVIN 40S ribosomal protein S27-like OS=Bos taurus OX=9913 GN=RPS27L PE=3 SV=3,9.4631,43099000,0,10490000,0,0,0,0,0,0,0,0,0,0,0,0,0
Q3T196,Q3T196,1,sp|Q3T196|YIF1A_BOVIN Protein YIF1A OS=Bos taurus OX=9913 GN=YIF1A PE=2 SV=1,32.102,26011000,0,0,0,0,0,0,0,0,0,0,0,0,0,8702800,0
Q3YJG8;W5XQG3;Q3YJH1;A0A7S6NJ40;Q3YJI7;K7QEK9;Q3YJG7;Q3YJH3;Q8SNJ0;A0A7T8G3N2;Q3YJI8;H6V5E6;Q30304;D6C4G0;A0A7S6NKM5;A0A7S6NJ31;A0A7S6NJ29;O46740;O78186;Q3YJF1;Q3YJF4;A0A173FD84;K7QE78;O77972;Q4ZJR8;Q3YFH6;Q3YFH5;Q3YJI5;H6V5E1;Q2PS11;A0A173FD75;H6V5F7;C9EF38;A0A7S6NJ41;A0A7S6NJ43;A0A023JCX1;K7QE82;O46710;Q3YJF7;O46714;Q3YJG6;O46730;O78056;O46731;A0A0K1L5K7;G9HR11;Q95394;O46727;O46768;D6C4G1;P13752;A0A173FD44;H6V5E0;H6V5F3;A0A7S6SPV6;O46741;A0A7S6SP75;A0A7S6SNX3;A0A7S6NJ44;Q3YJI4;A0A7S6NJ30;O46742;O46770;O46767;F1MZQ5;Q3YJL9;A6QPT2;A0A173FDH2;A0A3Q1MI19;A0A3Q1MN61;Q9MXD8;A0A173FDF3;H6V5G9;O46771;O46723;G9HQV5;A0A2D3UNI2;A0A2D3UPS5;G9HQS9;G9HQU0;G9HQV1;G9HQZ1;G9HR07;G9HR08;G9HR15;G9HR18;G9HR35;G9HR39;G9HR49;G9HR50;G9HQV4;G9HQZ0;A0A3Q1MSA6;O46778;O46733;Q3YFG3;O78058;A0A173FDL4;Q3YFG2;A0A173FDK8;A0A173FDF4;G9HQV9;Q3YFH2;F1MWX3;A0A173FDG1;Q3YFF9;Q3YFG4;A0A3Q1NHF9;A0A3Q1MJ73;H6V5H0;F1N3I2;O46780;Q0PNG0;O46724;O46765;O46779;A0A3Q1MD45,Q3YJG8;W5XQG3;Q3YJH1;A0A7S6NJ40;Q3YJI7;K7QEK9;Q3YJG7;Q3YJH3;Q8SNJ0;A0A7T8G3N2;Q3YJI8;H6V5E6;Q30304;D6C4G0;A0A7S6NKM5;A0A7S6NJ31;A0A7S6NJ29;O46740;O78186;Q3YJF1;Q3YJF4;A0A173FD84;K7QE78;O77972;Q4ZJR8;Q3YFH6;Q3YFH5;Q3YJI5;H6V5E1;Q2PS11;A0A173FD75;H6V5F7;C9EF38;A0A7S6NJ41;A0A7S6NJ43;A0A023JCX1;K7QE82;O46710;Q3YJF7;O46714;Q3YJG6;O46730;O78056;O46731;A0A0K1L5K7;G9HR11;Q95394,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,tr|Q3YJG8|Q3YJG8_BOVIN MHC class I antigen (Fragment) OS=Bos taurus OX=9913 GN=BoLA PE=3 SV=1;tr|W5XQG3|W5XQG3_BOVIN MHC class I antigen OS=Bos taurus OX=9913 PE=2 SV=1;tr|Q3YJH1|Q3YJH1_BOVIN MHC class I antigen (Fragment) OS=Bos taurus OX=9913 GN=BoLA PE=,40.785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q3ZCH9,Q3ZCH9,3,sp|Q3ZCH9|HDHD2_BOVIN Haloacid dehalogenase-like hydrolase domain-containing protein 2 OS=Bos taurus OX=9913 GN=HDHD2 PE=2 SV=1,28.594,7476600,0,2192500,0,0,0,0,0,0,0,0,0,0,0,0,0
Q5E9E8,Q5E9E8,1,sp|Q5E9E8|YIPF5_BOVIN Protein YIPF5 OS=Bos taurus OX=9913 GN=YIPF5 PE=2 SV=1,28.016,44394000,0,0,0,0,0,0,0,0,0,3987300,0,0,0,0,0
P13183;A0A3Q1MQN6;A0A3Q1LKB8;A0A0N4STN2,P13183;A0A3Q1MQN6;A0A3Q1LKB8;A0A0N4STN2,1;1;1;1,"sp|P13183|COX7B_BOVIN Cytochrome c oxidase subunit 7B, mitochondrial OS=Bos taurus OX=9913 GN=COX7B PE=1 SV=3;tr|A0A3Q1MQN6|A0A3Q1MQN6_BOVIN Uncharacterized protein OS=Bos taurus OX=9913 PE=3 SV=1;tr|A0A3Q1LKB8|A0A3Q1LKB8_BOVIN Uncharacterized protein OS=B",9.0653,44281000,0,0,0,0,0,0,0,0,2355800,0,0,0,0,0,0
F1MCU6;A0A3Q1LLF4,F1MCU6;A0A3Q1LLF4,2;2,tr|F1MCU6|F1MCU6_BOVIN Queuine tRNA-ribosyltransferase catalytic subunit 1 OS=Bos taurus OX=9913 GN=QTRT1 PE=3 SV=3;tr|A0A3Q1LLF4|A0A3Q1LLF4_BOVIN Queuine tRNA-ribosyltransferase catalytic subunit 1 OS=Bos taurus OX=9913 GN=QTRT1 PE=3 SV=1,44.244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A3Q1LPX4;Q6PTA0;Q3ZC79;F6RJG0,A0A3Q1LPX4;Q6PTA0;Q3ZC79;F6RJG0,3;2;2;2,tr|A0A3Q1LPX4|A0A3Q1LPX4_BOVIN 3-hydroxy-3-methylglutaryl coenzyme A synthase OS=Bos taurus OX=9913 GN=HMGCS1 PE=1 SV=1;tr|Q6PTA0|Q6PTA0_BOVIN 3-hydroxy-3-methylglutaryl-coenzyme A synthase 1 (Fragment) OS=Bos taurus OX=9913 GN=HMGCS1 PE=2 SV=1;tr|Q3ZC79|Q,57.471,21823000,0,0,0,0,0,0,0,0,0,0,0,0,4365400,0,0
A0A3Q1LW23;A0A3Q1MLC6;A0A3Q1LY56;A0A3Q1LRD6;E1BGC1,A0A3Q1LW23;A0A3Q1MLC6;A0A3Q1LY56;A0A3Q1LRD6;E1BGC1,1;1;1;1;1,tr|A0A3Q1LW23|A0A3Q1LW23_BOVIN Methylcrotonoyl-CoA carboxylase 1 OS=Bos taurus OX=9913 GN=MCCC1 PE=1 SV=1;tr|A0A3Q1MLC6|A0A3Q1MLC6_BOVIN Methylcrotonoyl-CoA carboxylase 1 OS=Bos taurus OX=9913 GN=MCCC1 PE=1 SV=1;tr|A0A3Q1LY56|A0A3Q1LY56_BOVIN Methylcrotono,77.873,8184400,0,4022800,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A3Q1LYP9;A0A3Q1MJT4;A0A3Q1MDW4;Q2T9U3;F1N546;F2Y8R5,A0A3Q1LYP9;A0A3Q1MJT4;A0A3Q1MDW4;Q2T9U3;F1N546;F2Y8R5,2;2;2;2;2;1,tr|A0A3Q1LYP9|A0A3Q1LYP9_BOVIN Transmembrane and coiled-coil domain family 3 OS=Bos taurus OX=9913 GN=TMCC3 PE=3 SV=1;tr|A0A3Q1MJT4|A0A3Q1MJT4_BOVIN Transmembrane and coiled-coil domain family 3 OS=Bos taurus OX=9913 GN=TMCC3 PE=3 SV=1;tr|A0A3Q1MDW4|A0A3Q1,49.948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A3Q1M099;A0A3Q1MGX9;F1N1V3;A0A3Q1MGU7;A0A3Q1N4S4,A0A3Q1M099;A0A3Q1MGX9;F1N1V3;A0A3Q1MGU7;A0A3Q1N4S4,1;1;1;1;1,tr|A0A3Q1M099|A0A3Q1M099_BOVIN Nucleoporin 205 OS=Bos taurus OX=9913 GN=NUP205 PE=3 SV=1;tr|A0A3Q1MGX9|A0A3Q1MGX9_BOVIN Nucleoporin 205 OS=Bos taurus OX=9913 GN=NUP205 PE=3 SV=1;tr|F1N1V3|F1N1V3_BOVIN Nucleoporin 205 OS=Bos taurus OX=9913 GN=NUP205 PE=3 SV,213.11,26912000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3487600
A0A3Q1MFT2;A0A3Q1M3M6;A0A452DIN4;A0A3Q1N573;A0A3Q1M410;E1BCH6,A0A3Q1MFT2;A0A3Q1M3M6;A0A452DIN4;A0A3Q1N573;A0A3Q1M410;E1BCH6,2;2;2;2;2;2,tr|A0A3Q1MFT2|A0A3Q1MFT2_BOVIN 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase-like protein OS=Bos taurus OX=9913 GN=CRPPA PE=3 SV=1;tr|A0A3Q1M3M6|A0A3Q1M3M6_BOVIN 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase-like protein OS=Bos taurus,45.858,11993000,0,0,0,0,0,0,0,0,0,1777800,0,0,0,0,0
